product_id,product_name,category,unit_cost,unit_price
1000,EL-01,Electronics,48.07,57.92
1001,EL-02,Electronics,114.33,156.96
1002,EL-03,Electronics,89.18,103.94
1003,EL-04,Electronics,73.85,115.15
1004,EL-05,Electronics,22.94,29.05
1005,EL-06,Electronics,22.94,33.22
1006,EL-07,Electronics,11.68,15.07
1007,EL-08,Electronics,104.61,144.78
1008,HO-01,Home,74.13,103.49
1009,HO-02,Home,86.43,106.58
1010,HO-03,Home,7.37,11.69
1011,HO-04,Home,116.54,174.67
1012,HO-05,Home,100.73,158.43
1013,HO-06,Home,29.42,45.68
1014,HO-07,Home,25.91,36.77
1015,HO-08,Home,26.09,40.83
1016,SP-01,Sports,39.99,47.58
1017,SP-02,Sports,65.35,80.92
1018,SP-03,Sports,54.67,63.98
1019,SP-04,Sports,38.49,49.9
1020,SP-05,Sports,75.36,99.84
1021,SP-06,Sports,21.04,26.77
1022,SP-07,Sports,38.6,58.79
1023,SP-08,Sports,47.13,61.77
1024,BE-01,Beauty,57.45,73.33
1025,BE-02,Beauty,95.3,132.87
1026,BE-03,Beauty,27.96,33.93
1027,BE-04,Beauty,64.14,96.91
1028,BE-05,Beauty,73.13,86.55
1029,BE-06,Beauty,10.34,16.48
1030,BE-07,Beauty,74.87,112.12
1031,BE-08,Beauty,24.61,30.5
1032,TO-01,Toys,12.48,14.38
1033,TO-02,Toys,114.12,173.12
1034,TO-03,Toys,116.05,170.37
1035,TO-04,Toys,97.97,144.8
1036,TO-05,Toys,40.03,59.93
1037,TO-06,Toys,16.23,19.21
1038,TO-07,Toys,83.69,109.74
1039,TO-08,Toys,55.62,66.86
